يُمْكِنُ 	 مكن
ظَلِمَ 	 ظلم
كَسَفَ 	 كسف
حَرَمَ 	 حرم
شَفِقَ 	 شفق
كَفِحَ 	 كفح
نَكَحَ 	 نكح
حَزَمَ 	 حزم
كَدِرَ 	 كدر
خَرِبَ 	 خرب
حَسَفَ 	 حسف
سَدِلَ 	 سدل
سَكِرَ 	 سكر
حَسَمَ 	 حسم
حَشَدَ 	 حشد
خَزَلَ 	 خزل
خَزِرَ 	 خزر
لَبِدَ 	 لبد
خَلِسَ 	 خلس
نَمِسَ 	 نمس
قَبَسَ 	 قبس
رَكَنَ 	 ركن
قَشِفَ 	 قشف
خَمِجَ 	 خمج
فَقَصَ 	 فقص
رَشِمَ 	 رشم
خَفَرَ 	 خفر
رَحَلَ 	 رحل
خَلَبَ 	 خلب
دَرِزَ 	 درز
خَشَفَ 	 خشف
خَشِفَ 	 خشف
خَشَمَ 	 خشم
هَدَرَ 	 هدر
نَعِرَ 	 نعر
سَحَبَ 	 سحب
خَرَشَ 	 خرش
خَرِسَ 	 خرس
خَرَقَ 	 خرق
رَجَحَ 	 رجح
خَرِعَ 	 خرع
خَرِفَ 	 خرف
خَرِزَ 	 خرز
رَصِعَ 	 رصع
رَضَخَ 	 رضخ
نَعَقَ 	 نعق
رَضَعَ 	 رضع
رَضَعَ 	 رضع
رَصَعَ 	 رصع
خَطِبَ 	 خطب
رَعَبَ 	 رعب
نَفِسَ 	 نفس
ذَلِفَ 	 ذلف
رَعِفَ 	 رعف
رَقِبَ 	 رقب
نَمَسَ 	 نمس
خَطِفَ 	 خطف
خَصِرَ 	 خصر
خَضِبَ 	 خضب
ضَغَطَ 	 ضغط
حَكَرَ 	 حكر
خَلِفَ 	 خلف
صَنَعَ 	 صنع
قَطِمَ 	 قطم
دَعَمَ 	 دعم
حَفَلَ 	 حفل
طَلِحَ 	 طلح
خَصَمَ 	 خصم
سَخِطَ 	 سخط
خَطِلَ 	 خطل
خَنَسَ 	 خنس
خَوِرَ 	 خور
سَنِمَ 	 سنم
كَنَسَ 	 كنس
زَعِرَ 	 زعر
كَبِسَ 	 كبس
دَجِرَ 	 دجر
عَمِدَ 	 عمد
صَبِحَ 	 صبح
قَرِطَ 	 قرط
دَمِنَ 	 دمن
دَبِرَ 	 دبر
دَبَشَ 	 دبش
نَهَكَ 	 نهك
شَخَصَ 	 شخص
هَدَمَ 	 هدم
دَخِلَ 	 دخل
نَهِكَ 	 نهك
نَهَمَ 	 نهم
حَرِبَ 	 حرب
دَحِسَ 	 دحس
دَعِكَ 	 دعك
نَبَذَ 	 نبذ
كَنَزَ 	 كنز
يَقِنَ 	 يقن
قَرَنَ 	 قرن
فَطَمَ 	 فطم
رَمِدَ 	 رمد
زَعِقَ 	 زعق
دَعَسَ 	 دعس
شَمَخَ 	 شمخ
رَقِشَ 	 رقش
دَعَصَ 	 دعص
كَفِلَ 	 كفل
خَسَفَ 	 خسف
ثَلِمَ 	 ثلم
قَرَقَ 	 قرق
كَسَفَ 	 كسف
فَرِعَ 	 فرع
خَسِرَ 	 خسر
مَهَرَ 	 مهر
دَغِمَ 	 دغم
دَلَعَ 	 دلع
نَخِبَ 	 نخب
دَغِمَ 	 دغم
دَرِعَ 	 درع
دَغِصَ 	 دغص
كَمِنَ 	 كمن
دَسِقَ 	 دسق
حَفِظَ 	 حفظ
دَرِمَ 	 درم
دَفَعَ 	 دفع
شَهَمَ 	 شهم
دَرَمَ 	 درم
سَفَعَ 	 سفع
جَدَلَ 	 جدل
رَبِذَ 	 ربذ
مَلِطَ 	 ملط
ذَعَفَ 	 ذعف
ذَعَفَ 	 ذعف
نَقِمَ 	 نقم
جَدِلَ 	 جدل
جَدِرَ 	 جدر
نَصَحَ 	 نصح
ذَهِنَ 	 ذهل
جَبِهَ 	 جبه
جَدَفَ 	 جدف
رَكِبَ 	 ركب
رَتِجَ 	 رتج
رَتِقَ 	 رتق
نَخِرَ 	 نخر
رَثَمَ 	 رثم
نَزَحَ 	 نزح
رَجِبَ 	 رجب
هَزَمَ 	 هزم
هَمَزَ 	 همز
كَرَزَ 	 كرز
قَبَحَ 	 قبح
لَسِنَ 	 لسن
رَجِلَ 	 رجل
رَجِسَ 	 رجس
غَرِدَ 	 غرد
شَرَمَ 	 شرم
حَسِكَ 	 حسك
ثَلَبَ 	 ثلب
نَعِمَ 	 نعم
جَبَذَ 	 جبذ
فَرِهَ 	 فره
جَمَعَ 	 جمع
جَنَبَ 	 جنب
كَبَشَ 	 كبش
جَشِعَ 	 جشع
كَرِشَ 	 كرش
جَعَلَ 	 جعل
جَدَعَ 	 جدع
جَذِمَ 	 جذم
خَنِفَ 	 خنف
جَذَعَ 	 جذع
سَعِفَ 	 سعف
فَسَدَ 	 فسد
حَلِمَ 	 حلم
جَذَفَ 	 جذف
ثَقِفَ 	 ثقف
جَرِدَ 	 جرد
فَقِرَ 	 فقر
جَذِلَ 	 جذل
رَغَمَ 	 رغم
جَزِعَ 	 جزع
رَهِبَ 	 رهب
رَهِصَ 	 رهص
نَطِسَ 	 نطس
رَكَعَ 	 ركع
رَمَدَ 	 رمد
عَقَصَ 	 عقص
رَمِشَ 	 رمش
رَغَفَ 	 رغف
كَشِحَ 	 كشح
ذَرَحَ 	 ذرح
رَعِنَ 	 رعن
سَمَحَ 	 سمح
رَفَدَ 	 رفد
دَهَكَ 	 دهك
رَدَحَ 	 ردح
رَزَحَ 	 رزح
جَهَرَ 	 جهر
رَذِلَ 	 رذل
نَعَسَ 	 نعس
فَعِمَ 	 فعم
نَصِبَ 	 نصب
رَكِنَ 	 ركن
رَمَحَ 	 رمح
رَشَحَ 	 رشح
بَشِرَ 	 بشر
خَشِبَ 	 خشب
حَرِشَ 	 حرش
قَنِعَ 	 قنع
دَمِثَ 	 دمث
دَمَسَ 	 دمس
رَفِشَ 	 رفش
دَلِهَ 	 دله
دَمَغَ 	 دمغ
قَوِدَ 	 قود
رَعَشَ 	 رعش
مَرِدَ 	 مرد
دَهِسَ 	 دهس
لَغَدَ 	 لغد
دَهَشَ 	 دهش
دَهِشَ 	 دهش
لَحَفَ 	 لحف
قَفِصَ 	 قفص
سَطِعَ 	 سطع
ذَبَرَ 	 ذبر
عَفَنَ 	 عفن
عَشِبَ 	 عشب
رَفَعَ 	 رفع
صَحِبَ 	 صحب
ذَخَرَ 	 ذخر
ذَرَفَ 	 ذرف
عَصَمَ 	 عصم
دَهَمَ 	 دهم
خَلِصَ 	 خلص
دَوِشَ 	 دوش
شَظِفَ 	 شظف
شَمِلَ 	 شمل
زَمِنَ 	 زمن
طَبَعَ 	 طبع
مَحَقَ 	 محق
رَبَثَ 	 ربث
دَرِجَ 	 درج
نَجِسَ 	 نجس
بَخَسَ 	 بخس
ضَبِنَ 	 ضبن
عَلِبَ 	 علب
حَنَفَ 	 حنف
حَقِبَ 	 حقب
صَحَنَ 	 صحن
نَهَشَ 	 نهش
ظَهِرَ 	 ظهر
حَضِرَ 	 حضر
قَضَمَ 	 قضم
غَرَزَ 	 غرز
فَجَعَ 	 فجع
عَدَسَ 	 عدس
نَفَرَ 	 نفر
كَبَلَ 	 كبل
مَحَكَ 	 محك
حَتَمَ 	 حتم
عَصَبَ 	 عصب
فَلِحَ 	 فلح
دَحَصَ 	 دحص
سَنَحَ 	 سنح
زَعَجَ 	 زعج
حَسِرَ 	 حسر
طَفِلَ 	 طفل
شَرَبَ 	 شرب
نَبِهَ 	 نبه
طَرِشَ 	 طرش
ضَمِنَ 	 ضمن
خَصِفَ 	 خصف
غَرِزَ 	 غرز
فَدَحَ 	 فدح
رَغَنَ 	 رغن
تَرِحَ 	 ترح
شَذَبَ 	 شذب
نَحَطَ 	 نحط
خَضِرَ 	 خضر
رَفَهَ 	 رفه
قَوِرَ 	 قور
ذَعَرَ 	 ذعر
سَقِفَ 	 سقف
دَحَضَ 	 دحض
حَرِجَ 	 حرج
بَهَجَ 	 بهج
مَتَعَ 	 متع
قَبَعَ 	 قبع
قَبِلَ 	 قبل
فَصَمَ 	 فصم
عَكِشَ 	 عكش
لَطَمَ 	 لطم
نَظَمَ 	 نظم
فَتَنَ 	 فتن
فَتَكَ 	 فتك
عَرِمَ 	 عرم
صَقَعَ 	 صقع
دَجِمَ 	 دجم
فَطِحَ 	 فطح
سَفِعَ 	 سفع
جَلَخَ 	 جلخ
شَغِفَ 	 شغف
خَشِمَ 	 خشم
زَمِعَ 	 زمع
نَشِفَ 	 نشف
سَبَحَ 	 سبح
سَبِخَ 	 سبخ
سَفَهَ 	 سفه
ذَهَبَ 	 ذهب
ضَعَفَ 	 ضعف
زَعَطَ 	 زعط
دَحَرَ 	 دحر
نَحِسَ 	 نحس
رَوِحَ 	 روح
زَمَعَ 	 زمع
جَلَبَ 	 جلب
رَهَفَ 	 رهف
سَمِعَ 	 سمع
شَجِبَ 	 شجب
نَهَرَ 	 نهر
مَصَحَ 	 مصح
طَعَنَ 	 طعن
ثَرَبَ 	 ثرب
فَخَرَ 	 فخر
مَهَلَ 	 مهل
جَهِلَ 	 جهل
نَغِمَ 	 نغم
نَشِمَ 	 نشم
نَكِدَ 	 نكد
ذَعِرَ 	 ذعر
رَضَفَ 	 رضف
قَمِلَ 	 قمل
فَرَكَ 	 فرك
غَصَنَ 	 غصن
دَفَنَ 	 دفن
هَمَسَ 	 همس
جَرِعَ 	 جرع
نَعَشَ 	 نعش
مَعَقَ 	 معق
فَطَسَ 	 فطس
نَشِرَ 	 نشر
صَدَحَ 	 صدح
سَطَحَ 	 سطح
نَهِمَ 	 نهم
هَرِدَ 	 هرد
دَغَرَ 	 دغر
قَنَصَ 	 قنص
شَحَمَ 	 شحم
قَرِضَ 	 قرض
نَقَمَ 	 نقم
عَصَدَ 	 عصد
جَزَفَ 	 جزف
سَفَكَ 	 سفك
هَبِشَ 	 هبش
ذَرَقَ 	 ذرق
عَزَبَ 	 عزب
كَبَسَ 	 كبس
هَذَبَ 	 هذب
لَهِثَ 	 لهث
قَزِمَ 	 قزم
قَتِمَ 	 قتم
خَنِزَ 	 خنز
لَهِبَ 	 لهب
رَعِشَ 	 رعش
لَطَعَ 	 لطع
رَهِقَ 	 رهق
زَلَجَ 	 زلج
خَفَتَ 	 خفت
نَكَهَ 	 نكه
عَقَلَ 	 عقل
مَذَقَ 	 مذق
نَقَهَ 	 نقه
ثَبِطَ 	 ثبط
طَعِمَ 	 طعم
عَهِدَ 	 عهد
قَلَمَ 	 قلم
بَهَرَ 	 بهر
قَمَعَ 	 قمع
حَزِمَ 	 حزم
غَمَضَ 	 غمض
نَجِلَ 	 نجل
شَهَبَ 	 شهب
عَتَقَ 	 عتق
ضَجِرَ 	 ضجر
شَرَحَ 	 شرح
زَبَدَ 	 زبد
خَنِثَ 	 خنث
تَرِبَ 	 ترب
هَدَلَ 	 هدل
تَلِهَ 	 تله
طَهَرَ 	 طهر
كَتِفَ 	 كتف
عَطِشَ 	 عطش
كَتَفَ 	 كتف
حَرَصَ 	 حرص
قَشَرَ 	 قشر
صَفَعَ 	 صفع
نَكِفَ 	 نكف
شَحَنَ 	 شحن
زَنِمَ 	 زنم
نَوِقَ 	 نوق
عَوِرَ 	 عور
سَحِمَ 	 سحم
