يُمْكِنُ 	 مكن
جَصَّصَ 	 جصص
طَلَّعَ 	 طلع
جَسَّرَ 	 جسر
رَمْرَمَ 	 رمرم
مَثَّلَ 	 مثل
شَطَّطَ 	 شطط
تَلْفَزَ 	 تلفز
فَعَّلَ 	 فعل
نَدَّفَ 	 ندف
حَقَّقَ 	 حقق
حَلْحَلَ 	 حلحل
جَدَّفَ 	 جدف
خَرَّقَ 	 خرق
شَوَّشَ 	 شوش
صَعْتَرَ 	 صعتر
شَمَّمَ 	 شمم
فَيَّحَ 	 فيح
حَسَّرَ 	 حسر
صَبَّنَ 	 صبن
شَجَّعَ 	 شجع
حَلَّمَ 	 حلم
حَمْحَمَ 	 حمحم
حَمَّدَ 	 حمد
طَوَّقَ 	 طوق
مَوْضَعَ 	 وضع
لَثَّمَ 	 لثم
نَحْنَحَ 	 نحنح
عَوَّصَ 	 عوص
صَمْصَمَ 	 صمصم
وَكَّلَ 	 وكل
لَوَّنَ 	 لون
حَمَّلَ 	 حمل
زَيَّنَ 	 زين
حَمْلَقَ 	 حملق
حَنْبَلَ 	 حنبل
حَنْجَرَ 	 حنجر
حَوَّضَ 	 حوض
لَيَّفَ 	 ليف
صَفَّحَ 	 صفح
وَرَّكَ 	 ورك
حَفَّضَ 	 حفض
ضَرَّجَ 	 ضرج
نَفَّلَ 	 نفل
بَيَّتَ 	 بيت
وَدَّعَ 	 ودع
حَفْحَفَ 	 حفحف
كَذَّبَ 	 كذب
رَفَّدَ 	 رفد
حَبَّكَ 	 حبك
خَزَّنَ 	 خزن
وَرَّبَ 	 ورب
حَوَّطَ 	 حوط
زَوَّلَ 	 زول
حَسْحَسَ 	 حسحس
قَنَّعَ 	 قنع
خَجَّلَ 	 خجل
صَبَّحَ 	 صبح
ظَلَّفَ 	 ظلف
حَصْحَصَ 	 حصحص
حَيَّضَ 	 حيض
قَعَّرَ 	 قعر
فَقَّرَ 	 فقر
زَرَّفَ 	 زرف
هَبَّلَ 	 هبل
خَتَّمَ 	 ختم
جَنْدَلَ 	 جندل
رَوَّبَ 	 روب
خَرْخَرَ 	 خرخر
فَسَّقَ 	 فسق
خَذَّلَ 	 خذل
مَعْجَمَ 	 عجم
حَجَّبَ 	 حجب
صَرَّحَ 	 صرح
هَمْهَمَ 	 همهم
بَلَّدَ 	 بلد
خَرَّزَ 	 خرز
قَوَّضَ 	 قوض
رَوَّقَ 	 روق
وَحَّمَ 	 وحم
خَسَّرَ 	 خسر
سَبْحَلَ 	 سبحل
غَفَّقَ 	 غفق
خَشَّبَ 	 خشب
خَشَّفَ 	 خشف
قَشَّفَ 	 قشف
حَظَّرَ 	 حظر
قَلَّصَ 	 قلص
خَذْرَفَ 	 خذرف
زَعْنَفَ 	 زعنف
مَفْصَلَ 	 فصل
وَعَّقَ 	 وعق
مَقْمَقَ 	 مقمق
سَوَّطَ 	 سوط
لَدَّدَ 	 لدد
جَبَّسَ 	 جبس
خَتَّرَ 	 ختر
رَشَّحَ 	 رشح
هَتَّفَ 	 هتف
عَوَّذَ 	 عوذ
دَنَّنَ 	 دنن
رَقَّمَ 	 رقم
وَشْوَشَ 	 وشوش
جَلَّلَ 	 جلل
ذَوَّدَ 	 ذود
جَيَّشَ 	 جيش
رَسَّمَ 	 رسم
وَغَّرَ 	 وغر
وَطَّدَ 	 وطد
شَرَّحَ 	 شرح
حَذَّقَ 	 حذق
رَسَّخَ 	 رسخ
رَصَّفَ 	 رصف
غَلَّفَ 	 غلف
نَحَّلَ 	 نحل
صَلَّعَ 	 صلع
رَزَّزَ 	 رزز
صَمَّتَ 	 صمت
وَهَّمَ 	 وهم
نَمَّقَ 	 نمق
سَخَّنَ 	 سخن
خَرَّمَ 	 خرم
وَهَّنَ 	 وهن
وَقَّدَ 	 وقد
تَيَّهَ 	 تيه
رَوَّعَ 	 روع
حَرَّدَ 	 حرد
وَلْوَلَ 	 ولول
دَنَّرَ 	 دنر
رَجَّنَ 	 رجن
رَدَّعَ 	 ردع
شَكَّلَ 	 شكل
حَصَّصَ 	 حصص
رَدَّحَ 	 ردح
وَضَّعَ 	 وضع
نَصَّبَ 	 نصب
شَتَّتَ 	 شتت
جَنَّسَ 	 جنس
حَوَّرَ 	 حور
رَخَّصَ 	 رخص
وَلَّهَ 	 وله
وَلَّعَ 	 ولع
زَمْهَرَ 	 زمهر
رَبَّضَ 	 ربض
رَبَّعَ 	 ربع
دَمَّسَ 	 دمس
كَفَّلَ 	 كفل
طَبَّقَ 	 طبق
كَتَّفَ 	 كتف
سَلَّحَ 	 سلح
رَبَّثَ 	 ربث
ذَهَّبَ 	 ذهب
شَقَّقَ 	 شقق
ثَمَّنَ 	 ثمن
لَبَّدَ 	 لبد
حَلَّلَ 	 حلل
لَوَّطَ 	 لوط
يَقَّظَ 	 يقظ
نَفَّذَ 	 نفذ
زَقَّقَ 	 زقق
يَبَّبَ 	 يبب
تَمَلَّصَ 	 ملص
يَسَّرَ 	 يسر
مَنَّعَ 	 منع
تَلْفَزَ 	 لفز
فَلَّقَ 	 فلق
شَخَّرَ 	 شخر
يَمَّنَ 	 يمن
ذَقَّنَ 	 ذقن
ذَمَّمَ 	 ذمم
هَتَّكَ 	 هتك
نَشَّفَ 	 نشف
ذَوَّبَ 	 ذوب
خَوَّفَ 	 خوف
حَذْلَقَ 	 حذلق
وَلَّدَ 	 ولد
حَصَّلَ 	 حصل
جَدَّعَ 	 جدع
بَيَّضَ 	 بيض
جَدَّرَ 	 جدر
جَوَّقَ 	 جوق
مَخَّخَ 	 مخخ
رَجْرَجَ 	 رجرج
زَبَّرَ 	 زبر
وَسَّدَ 	 وسد
سَبَّبَ 	 سبب
جَلَّبَ 	 جلب
هَزْبَرَ 	 هزبر
رَبَّزَ 	 ربز
سَكَّتَ 	 سكت
حَرَّشَ 	 حرش
دَوْزَنَ 	 دوزن
جَوَّلَ 	 جول
شَيَّتَ 	 شيت
رَيَّشَ 	 ريش
رَيَّعَ 	 ريع
مَنَّنَ 	 منن
دَثَّرَ 	 دثر
جَرَّبَ 	 جرب
ضَرَّبَ 	 ضرب
نَضَّدَ 	 نضد
بَرْذَنَ 	 برذن
دَمْلَجَ 	 دملج
قَيَّدَ 	 قيد
قَيَّحَ 	 قيح
بَلَّطَ 	 بلط
زَبَّدَ 	 زبد
صَرَّمَ 	 صرم
ثَبَّطَ 	 ثبط
رَيَّمَ 	 ريم
هَيْمَنَ 	 هيمن
زَجَّجَ 	 زجج
رَوَّدَ 	 رود
دَوَّخَ 	 دوخ
مَرَّقَ 	 مرق
دَسَّمَ 	 دسم
لَبَّكَ 	 لبك
زَبَّلَ 	 زبل
تَوَّهَ 	 توه
زَخْرَفَ 	 زخرف
عَتَّقَ 	 عتق
عَوَّلَ 	 عول
زَرْزَرَ 	 زرزر
ضَلَّلَ 	 ضلل
ثَوَّرَ 	 ثور
وَثَّفَ 	 وثف
صَنَّمَ 	 صنم
فَخْفَخَ 	 فخفخ
رَضَّفَ 	 رضف
رَفَّلَ 	 رفل
زَرْفَنَ 	 زرفن
سَحَّرَ 	 سحر
كَلَّبَ 	 كلب
هَجَّجَ 	 هجج
غَيَّمَ 	 غيم
قَطَّعَ 	 قطع
وَيَّلَ 	 ويل
خَيَّمَ 	 خيم
زَحْلَفَ 	 زحلف
عَسَّرَ 	 عسر
فَتَّنَ 	 فتن
وَزَّفَ 	 وزف
زَحْزَحَ 	 زحزح
وَقْوَقَ 	 وقوق
هَرْهَرَ 	 هرهر
حَرَّرَ 	 حرر
حَمَّضَ 	 حمض
دَمَّنَ 	 دمن
مَطَّطَ 	 مطط
وَقَّرَ 	 وقر
ذَبَّحَ 	 ذبح
ذَبْذَبَ 	 ذبذب
حَثَّثَ 	 حثث
صَرَّعَ 	 صرع
ذَرَّحَ 	 ذرح
نَقْنَقَ 	 نقنق
قَرَّصَ 	 قرص
نَقَّرَ 	 نقر
وَصْوَصَ 	 وصوص
وَكَّدَ 	 وكد
وَفَّقَ 	 وفق
دَوَّرَ 	 دور
دَهَّنَ 	 دهن
دَلَّهَ 	 دله
بَلَّلَ 	 بلل
شَرَّبَ 	 شرب
جَدْوَلَ 	 جدول
حَضَّضَ 	 حضض
دَلَّلَ 	 دلل
وَتَّدَ 	 وتد
دَلَّكَ 	 دلك
هَرَّمَ 	 هرم
فَتَّتَ 	 فتت
قَمْقَمَ 	 قمقم
شَغَّلَ 	 شغل
نَقَّمَ 	 نقم
فَكَّرَ 	 فكر
عَنَّتَ 	 عنت
شَرَّفَ 	 شرف
لَعَّقَ 	 لعق
زَبَّبَ 	 زبب
كَسَّبَ 	 كسب
رَهَّبَ 	 رهب
نَزَّعَ 	 نزع
عَمَّهَ 	 عمه
عَطَّبَ 	 عطب
ذَكَّرَ 	 ذكر
ذَرَّعَ 	 ذرع
قَهْقَرَ 	 قهقر
سَلَّطَ 	 سلط
دَيَّنَ 	 دين
شَيْطَنَ 	 شيطن
حَرَّجَ 	 حرج
دَوَّسَ 	 دوس
وَهْوَهَ 	 وهوه
سَفَّعَ 	 سفع
عَتَّدَ 	 عتد
رَبَّقَ 	 ربق
وَكَّبَ 	 وكب
رَجَّلَ 	 رجل
زَنَّمَ 	 زنم
زَهَّدَ 	 زهد
دَقَّقَ 	 دقق
زَوَّدَ 	 زود
زَلَّلَ 	 زلل
كَمَّشَ 	 كمش
زَحْلَقَ 	 زحلق
خَنَّثَ 	 خنث
زَوَّجَ 	 زوج
طَلَّبَ 	 طلب
هَذَّبَ 	 هذب
هَزَّزَ 	 هزز
عَيَّنَ 	 عين
سَلَّفَ 	 سلف
جَمَّعَ 	 جمع
سَلَّخَ 	 سلخ
شَوَّرَ 	 شور
سَلَّسَ 	 سلس
طَيَّحَ 	 طيح
سَفَّطَ 	 سفط
رَصَّدَ 	 رصد
بَوَّقَ 	 بوق
عَزَّفَ 	 عزف
سَبَّطَ 	 سبط
رَغَّبَ 	 رغب
تَكْتَكَ 	 تكت
رَمَّلَ 	 رمل
تَرَّفَ 	 ترف
سَجَّعَ 	 سجع
سَرْدَقَ 	 سردق
زَيَّغَ 	 زيغ
كَوَّمَ 	 كوم
سَبَّخَ 	 سبخ
تَعْتَعَ 	 تعتع
طَلَّمَ 	 طلم
فَرْتَكَ 	 فرتك
خَفْخَفَ 	 خفخف
دَوَّحَ 	 دوح
تَلْمَذَ 	 تلمذ
زَمَّمَ 	 زمم
تَمْتَمَ 	 تمتم
هَدَّنَ 	 هدن
زَيَّدَ 	 زيد
زَلَّقَ 	 زلق
زَمَّرَ 	 زمر
سَبَّلَ 	 سبل
رَقَّعَ 	 رقع
سَبْسَبَ 	 سبسب
بَرَّزَ 	 برز
زَيَّتَ 	 زيت
سَبَّكَ 	 سبك
دَبَّحَ 	 دبح
طَبَّعَ 	 طبع
نَتَّنَ 	 نتن
تَرَّحَ 	 ترح
جَعَّبَ 	 جعب
عَلَّمَ 	 علم
جَنَّبَ 	 جنب
كَلَّسَ 	 كلس
طَحْلَبَ 	 طحلب
طَحَّنَ 	 طحن
غَرَّدَ 	 غرد
طَبْطَبَ 	 طبطب
طَرَّحَ 	 طرح
ضَجَّعَ 	 ضجع
مَزَّقَ 	 مزق
ضَفْدَعَ 	 ضفدع
لَبَّنَ 	 لبن
ضَحَّكَ 	 ضحك
ضَرَّمَ 	 ضرم
شَعْوَذَ 	 شعذ
مَصَّرَ 	 مصر
طَرَّرَ 	 طرر
طَرَّسَ 	 طرس
سَفَّرَ 	 سفر
زَنَّدَ 	 زند
نَقَّسَ 	 نقس
طَرَّقَ 	 طرق
وَكَّفَ 	 وكف
غَمَّسَ 	 غمس
جَهَّزَ 	 جهز
سَكَّعَ 	 سكع
سَدَّدَ 	 سدد
سَرْبَلَ 	 سربل
سَرَّقَ 	 سرق
سَكَّنَ 	 سكن
رَفْرَفَ 	 رفرف
سَلْسَلَ 	 سلسل
قَمَّصَ 	 قمص
جَمَّدَ 	 جمد
صَدَّقَ 	 صدق
حَصْرَمَ 	 حصرم
زَلَّجَ 	 زلج
نَفَّرَ 	 نفر
سَطَّرَ 	 سطر
طَفْطَفَ 	 طفطف
بَكَّرَ 	 بكر
سَرَّدَ 	 سرد
وَعْوَعَ 	 وعوع
عَنْعَنَ 	 عنعن
سَدَّسَ 	 سدس
قَوَّسَ 	 قوس
فَجَّعَ 	 فجع
بَوَّلَ 	 بول
طَيَّرَ 	 طير
ضَمَّنَ 	 ضمن
سَيَّعَ 	 سيع
حَوْصَلَ 	 حصل
بَيْطَرَ 	 بيطر
تَطَيَّرَ 	 طير
رَوَّضَ 	 روض
سَيَّلَ 	 سيل
دَجْدَجَ 	 دجدج
عَيَّرَ 	 عير
وَظَّفَ 	 وظف
سَحَّمَ 	 سحم
كَفْكَفَ 	 كفكف
رَقَّدَ 	 رقد
وَحَّدَ 	 وحد
جَوَّفَ 	 جوف
حَدَّبَ 	 حدب
سَمْسَرَ 	 سمسر
عَفَّرَ 	 عفر
دَبْدَبَ 	 دبدب
حَدَّثَ 	 حدث
بَلْوَرَ 	 بلور
مَرَّرَ 	 مرر
طَوَّلَ 	 طول
وَطْوَطَ 	 وطوط
وَرْوَرَ 	 ورور
هَيَّبَ 	 هيب
خَصَّصَ 	 خصص
سَيَّرَ 	 سير
سَيَّحَ 	 سيح
صَوْبَنَ 	 صوبن
سَيَّجَ 	 سيج
قَصَّدَ 	 قصد
لَوَّمَ 	 لوم
رَغَّمَ 	 رغم
رَخَّمَ 	 رخم
عَقَّمَ 	 عقم
عَسَّفَ 	 عسف
جَدَّلَ 	 جدل
شَمَّعَ 	 شمع
شَيَّبَ 	 شيب
حَنَّطَ 	 حنط
حَشْحَشَ 	 حشحش
فَصَّصَ 	 فصص
تَلْفَنَ 	 لفن
ذَرْذَرَ 	 ذرذر
مَرَّنَ 	 مرن
جَنَّحَ 	 جنح
قَذَّرَ 	 قذر
هَيَّمَ 	 هيم
صَوَّرَ 	 صور
وَفَّرَ 	 وفر
شَلْشَلَ 	 شلشل
كَفَّنَ 	 كفن
خَضَّعَ 	 خضع
فَصَّدَ 	 فصد
هَزْهَزَ 	 هزهز
جَيَّرَ 	 جير
لَبَّسَ 	 لبس
سَلَّمَ 	 سلم
حَنَّفَ 	 حنف
شَبَّبَ 	 شبب
شَبَّرَ 	 شبر
قَفَّصَ 	 قفص
سَجَّنَ 	 سجن
شَعَّثَ 	 شعث
جَمَّلَ 	 جمل
فَوَّطَ 	 فوط
قَتَّلَ 	 قتل
شَعَّلَ 	 شعل
حَرَّمَ 	 حرم
شَرْشَرَ 	 شرشر
خَبَّرَ 	 خبر
شَخَّصَ 	 شخص
خَرَّجَ 	 خرج
سَبَّحَ 	 سبح
شَدَّدَ 	 شدد
شَذَّبَ 	 شذب
نَدَّدَ 	 ندد
مَعَّكَ 	 معك
شَبَّعَ 	 شبع
شَبَّكَ 	 شبك
شَعَّرَ 	 شعر
شَذَّرَ 	 شذر
فَرَّقَ 	 فرق
فَرْطَسَ 	 فرطس
سَمَّنَ 	 سمن
هَلْهَلَ 	 هلهل
زَلَّفَ 	 زلف
خَفَّفَ 	 خفف
كَحَّلَ 	 كحل
سَمَّمَ 	 سمم
سَنَّدَ 	 سند
بَهْدَلَ 	 بهدل
حَبَّرَ 	 حبر
حَوَّقَ 	 حوق
سَهَّدَ 	 سهد
بَنَّجَ 	 بنج
وَعَّزَ 	 وعز
رَنَّقَ 	 رنق
شَرَّقَ 	 شرق
شَرَّكَ 	 شرك
كَدَّسَ 	 كدس
شَغَّبَ 	 شغب
قَوَّدَ 	 قود
مَرْهَمَ 	 رهم
بَقَّعَ 	 بقع
وَرَّثَ 	 ورث
طَبَّلَ 	 طبل
يَتَّمَ 	 يتم
شَرَّعَ 	 شرع
شَطَّرَ 	 شطر
عَسْقَلَ 	 عسقل
خَوَّرَ 	 خور
قَسَّمَ 	 قسم
زَحَّفَ 	 زحف
جَرَّحَ 	 جرح
تَرْجَمَ 	 ترجم
خَيَّطَ 	 خيط
زَمْزَمَ 	 زمزم
خَيَّرَ 	 خير
خَلَّفَ 	 خلف
نَكَّبَ 	 نكب
لَبْنَنَ 	 لبنن
خَمَّرَ 	 خمر
ذَعْذَعَ 	 ذعذع
خَمَّشَ 	 خمش
شَوَّكَ 	 شوك
خَضَّمَ 	 خضم
فَخَّمَ 	 فخم
خَطَّطَ 	 خطط
خَوْصَصَ 	 خصخص
بَزْبَزَ 	 بزبز
سَفَّدَ 	 سفد
كَمَّتَ 	 كمت
عَيَّطَ 	 عيط
بَرْهَنَ 	 برهن
شَفَّرَ 	 شفر
عَشَّشَ 	 عشش
وَفَّدَ 	 وفد
خَضَّرَ 	 خضر
عَدَّنَ 	 عدن
رَهْبَلَ 	 رهبل
صَعَّبَ 	 صعب
بَسْتَرَ 	 بستر
ثَقَّبَ 	 ثقب
صَعْلَكَ 	 صعلك
صَرَّفَ 	 صرف
صَفْصَفَ 	 صفصف
مَكَّنَ 	 مكن
نَحَّسَ 	 نحس
يَمَّمَ 	 يمم
صَفَّدَ 	 صفد
فَضَّحَ 	 فضح
رَطَّلَ 	 رطل
خَنَّقَ 	 خنق
مَوَّتَ 	 موت
هَفْهَفَ 	 هفهف
دَنَّسَ 	 دنس
سَفَّنَ 	 سفن
حَرَّفَ 	 حرف
خَنْخَنَ 	 خنخن
صَفَّقَ 	 صفق
بَرْوَزَ 	 بروز
طَنَّفَ 	 طنف
عَبْقَرَ 	 عبقر
صَلْصَلَ 	 صلصل
فَطَّسَ 	 فطس
حَزَّنَ 	 حزن
عَسْكَرَ 	 عسكر
ذَرَّفَ 	 ذرف
دَجَّنَ 	 دجن
جَفَّلَ 	 جفل
ضَمْضَمَ 	 ضمضم
دَبَّخَ 	 دبخ
دَبَّلَ 	 دبل
دَكْدَكَ 	 دكدك
نَقَّلَ 	 نقل
دَفَّفَ 	 دفف
شَفَّفَ 	 شفف
دَجَّجَ 	 دجج
رَضْرَضَ 	 رضرض
دَبَّجَ 	 دبج
دَحْرَجَ 	 دحرج
حَضَّرَ 	 حضر
سَطَّعَ 	 سطع
دَخَّلَ 	 دخل
دَرَّبَ 	 درب
وَصَّدَ 	 وصد
قَرْقَرَ 	 قرقر
جَوْرَبَ 	 جورب
حَوَّجَ 	 حوج
دَبَّرَ 	 دبر
مَكَّسَ 	 مكس
دَرَّجَ 	 درج
حَزَّمَ 	 حزم
كَمَّمَ 	 كمم
جَوَّبَ 	 جوب
خَفَّرَ 	 خفر
دَيَّخَ 	 ديخ
جَوَّدَ 	 جود
خَفَّضَ 	 خفض
لَغَّمَ 	 لغم
هَرَّسَ 	 هرس
خَلَّصَ 	 خلص
رَنَّنَ 	 رنن
غَسَّلَ 	 غسل
تَخَلَّفَ 	 خلف
جَلْبَبَ 	 جلبب
خَلَّدَ 	 خلد
غَرَّرَ 	 غرر
دَلْدَلَ 	 دلدل
مَخَّطَ 	 مخط
دَلَّسَ 	 دلس
دَقْدَقَ 	 دقدق
صَفَّفَ 	 صفف
سَحَّتَ 	 سحت
حَصَّنَ 	 حصن
دَغْدَغَ 	 دغدغ
دَفْدَفَ 	 دفدف
دَشَّنَ 	 دشن
دَرْوَشَ 	 دروش
دَرَّقَ 	 درق
جَوَّعَ 	 جوع
مَكَّرَ 	 مكر
عَصَّبَ 	 عصب
وَسَّعَ 	 وسع
طَنَّبَ 	 طنب
بَرَّرَ 	 برر
طَلْسَمَ 	 طلسم
غَيَّبَ 	 غيب
عَرَّبَ 	 عرب
عَتَّبَ 	 عتب
مَعْدَنَ 	 عدن
نَكَّفَ 	 نكف
طَيَّبَ 	 طيب
عَبَّقَ 	 عبق
سَفَّهَ 	 سفه
صَنَّعَ 	 صنع
دَعَّسَ 	 دعس
عَوَّقَ 	 عوق
طَوَّحَ 	 طوح
بَرَّحَ 	 برح
طَوَّرَ 	 طور
فَضْفَضَ 	 فضفض
كَدَّحَ 	 كدح
طَلْمَسَ 	 طلمس
حَدَّدَ 	 حدد
طَلَّقَ 	 طلق
بَذَّرَ 	 بذر
رَبَّبَ 	 ربب
طَوَّعَ 	 طوع
زَمْجَرَ 	 زمجر
ضَمَّخَ 	 ضمخ
ضَمَّدَ 	 ضمد
سَجَّلَ 	 سجل
طَرَّدَ 	 طرد
خَشَّمَ 	 خشم
زَرْكَشَ 	 زركش
ضَلَّعَ 	 ضلع
قَلَّبَ 	 قلب
خَرَّشَ 	 خرش
ضَرَّرَ 	 ضرر
ضَيَّفَ 	 ضيف
ضَيَّقَ 	 ضيق
رَوَّلَ 	 رول
دَسَّسَ 	 دسس
سَوَّغَ 	 سوغ
حَسَّفَ 	 حسف
وَثَّرَ 	 وثر
قَبْقَبَ 	 قبقب
عَجَّبَ 	 عجب
بَيَّنَ 	 بين
بَدَّدَ 	 بدد
سَفَّلَ 	 سفل
ظَلَّمَ 	 ظلم
زَمَّعَ 	 زمع
رَجَّحَ 	 رجح
زَمْخَرَ 	 زمخر
بَدَّلَ 	 بدل
شَنَّعَ 	 شنع
زَغَّبَ 	 زغب
شَمَّلَ 	 شمل
حَجَّرَ 	 حجر
حَبَّسَ 	 حبس
سَوَّلَ 	 سول
بَضَّعَ 	 بضع
بَطْبَطَ 	 بطبط
شَقْشَقَ 	 شقشق
بَعْثَرَ 	 بعثر
زَيَّفَ 	 زيف
شَوَّطَ 	 شوط
شَنَّفَ 	 شنف
نَفَّشَ 	 نفش
قَتَّرَ 	 قتر
صَيْدَلَ 	 صيدل
لَعَّنَ 	 لعن
صَوَّلَ 	 صول
صَيَّرَ 	 صير
ضَبَّرَ 	 ضبر
رَيَّثَ 	 ريث
صَوْمَعَ 	 صمع
صَوَّبَ 	 صوب
رَسَّلَ 	 رسل
صَمَّمَ 	 صمم
خَزَّرَ 	 خزر
حَيْعَلَ 	 حيعل
ثَوَّبَ 	 ثوب
قَعْقَعَ 	 قعقع
صَرَّدَ 	 صرد
غَرَّمَ 	 غرم
طَفَّفَ 	 طفف
حَسَّسَ 	 حسس
هَوَّدَ 	 هود
شَيَّخَ 	 شيخ
حَزَّزَ 	 حزز
صَحْصَحَ 	 صحصح
صَبَّرَ 	 صبر
قَضْقَضَ 	 قضقض
شَوَّهَ 	 شوه
طَوَّفَ 	 طوف
حَشْرَجَ 	 حشرج
شَذَّذَ 	 شذذ
شَمَّرَ 	 شمر
تَمَّرَ 	 تمر
شَكَّكَ 	 شكك
بَعَّدَ 	 بعد
لَغَّطَ 	 لغط
طَلَّحَ 	 طلح
رَوَّحَ 	 روح
صَحَّفَ 	 صحف
دَهْوَرَ 	 دهور
بَصْبَصَ 	 بصبص
سَبَّعَ 	 سبع
صَدَّرَ 	 صدر
نَجَّزَ 	 نجز
كَهْرَبَ 	 كهرب
كَوَّنَ 	 كون
تَمَسَّكَ 	 مسك
خَلَّلَ 	 خلل
لَحَّفَ 	 لحف
نَبَّبَ 	 نبب
كَيَّسَ 	 كيس
كَيَّفَ 	 كيف
فَحَّمَ 	 فحم
فَدَّعَ 	 فدع
كَنَّسَ 	 كنس
كَنَّفَ 	 كنف
عَبَّرَ 	 عبر
مَحَّصَ 	 محص
ضَغَّثَ 	 ضغث
لَبَّثَ 	 لبث
لَهْزَمَ 	 لهزم
عَرَّمَ 	 عرم
عَرَّضَ 	 عرض
مَسَّكَ 	 مسك
سَوَّقَ 	 سوق
نَتَّفَ 	 نتف
لَبْلَبَ 	 لبلب
مَصَّحَ 	 مصح
لَهَّبَ 	 لهب
نَبَّذَ 	 نبذ
لَهَّفَ 	 لهف
خَضَّبَ 	 خضب
مَيَّعَ 	 ميع
خَدَّرَ 	 خدر
فَذْلَكَ 	 فذلك
ضَعْضَعَ 	 ضعضع
مَيَّلَ 	 ميل
مَوَّهَ 	 موه
مَهَّدَ 	 مهد
دَرَّعَ 	 درع
فَكَّكَ 	 فكك
لَخَّصَ 	 لخص
قَرَّرَ 	 قرر
فَضَّضَ 	 فضض
لَصَّصَ 	 لصص
شَجَّرَ 	 شجر
لَطَّفَ 	 لطف
فَوَّزَ 	 فوز
هَيْكَلَ 	 هيكل
شَحَّمَ 	 شحم
عَيَّلَ 	 عيل
لَطَّخَ 	 لطخ
عَظَّمَ 	 عظم
خَصَّفَ 	 خصف
مَلَّكَ 	 ملك
نَوَّهَ 	 نوه
سَمَّجَ 	 سمج
مَلْمَلَ 	 ململ
طَمَّعَ 	 طمع
قَدَّسَ 	 قدس
مَغْنَطَ 	 مغنط
مَضْمَضَ 	 مضمض
بَيْطَرَ 	 بطر
نَمَّسَ 	 نمس
نَزَّقَ 	 نزق
زَيَّلَ 	 زيل
زَيَّرَ 	 زور،زير
لَوَّحَ 	 لوح
وَدَّجَ 	 ودج
قَيَّمَ 	 قيم
سَفْسَطَ 	 سفسط
كَوَّعَ 	 كوع
لَوَّثَ 	 لوث
قَوَّمَ 	 قوم
سَرَّبَ 	 سرب
بَوَّرَ 	 بور
كَتَّلَ 	 كتل
حَصَّبَ 	 حصب
نَوَّبَ 	 نوب
وَحَّفَ 	 وحف
نَزَّهَ 	 نزه
نَشَّطَ 	 نشط
نَشَّبَ 	 نشب
زَقَّمَ 	 زقم
كَلَّحَ 	 كلح
هَدَّجَ 	 هدج
نَخَّرَ 	 نخر
مَدَّدَ 	 مدد
رَمَّمَ 	 رمم
شَرَّدَ 	 شرد
نَضَّرَ 	 نضر
مَزَّحَ 	 مزح
مَرَّدَ 	 مرد
مَزَّجَ 	 مزج
وَضَّحَ 	 وضح
لَيَّنَ 	 لين
مَتَّعَ 	 متع
خَوَّضَ 	 خوض
مَرْكَزَ 	 مركز
مَرْمَرَ 	 مرمر
دَفَّقَ 	 دفق
لَقَّحَ 	 لقح
لَفَّقَ 	 لفق
دَرْدَرَ 	 دردر
ذَرَّبَ 	 ذرب
صَوَّمَ 	 صوم
لَبَّبَ 	 لبب
مَلَّسَ 	 ملس
لَقْلَقَ 	 لقلق
لَقَّمَ 	 لقم
لَقَّنَ 	 لقن
هَزَّجَ 	 هزج
دَوَّدَ 	 دود
مَكْنَنَ 	 مكن
تَلْمَذَ 	 لمذ
ذَبَّرَ 	 ذبر
عَدَّدَ 	 عدد
عَذَّلَ 	 عذل
صَغَّرَ 	 صغر
خَسَّسَ 	 خسس
فَهَّمَ 	 فهم
عَجَّفَ 	 عجف
عَرْبَدَ 	 عربد
طَنَّنَ 	 طنن
بَقْبَقَ 	 بقبق
رَزَّمَ 	 رزم
عَرَّشَ 	 عرش
مَجَّدَ 	 مجد
فَرَّحَ 	 فرح
عَزَّبَ 	 عزب
عَضَّلَ 	 عضل
عَسَّلَ 	 عسل
عَيَّبَ 	 عيب
جَرَّسَ 	 جرس
فَلْطَحَ 	 فلطح
صَدَّدَ 	 صدد
تَمَّمَ 	 تمم
كَشَّرَ 	 كشر
عَدَّلَ 	 عدل
ثَبَّتَ 	 ثبت
قَعَّدَ 	 قعد
دَوَّنَ 	 دون
فَجَّرَ 	 فجر
عَظَّلَ 	 عظل
رَصَّصَ 	 رصص
عَقَّلَ 	 عقل
عَوْلَمَ 	 علم
عَقَّبَ 	 عقب
عَقَّدَ 	 عقد
عَطَّشَ 	 عطش
عَكَّرَ 	 عكر
زَعْزَعَ 	 زعزع
قَطَّنَ 	 قطن
عَلَّبَ 	 علب
عَلْقَمَ 	 علقم
جَرَّفَ 	 جرف
عَقَّفَ 	 عقف
عَمَّدَ 	 عمد
فَشْفَشَ 	 فشفش
عَرَّسَ 	 عرس
عَرَّجَ 	 عرج
عَمَّلَ 	 عمل
عَمَّمَ 	 عمم
رَتَّلَ 	 رتل
عَنْتَرَ 	 عنتر
عَنْدَلَ 	 عندل
عَفَّنَ 	 عفن
عَنَّفَ 	 عنف
عَنَّقَ 	 عنق
عَنَّنَ 	 عنن
عَقْعَقَ 	 عقعق
عَوَّدَ 	 عود
سَدَّلَ 	 سدل
غَرَّقَ 	 غرق
